"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Products will be added/updated to this shop if 'shop' column is blank or missing in the import file.)"
"Add new store view map","Add new shop view map"
"Catalog","Catalogue"
"Choose Store View","Choose Shop View"
"Create New Staging Store View","Create New Staging Shop View"
"Excl. Tax","Excl. VAT"
"Incl. Tax","Incl. VAT"
"Leave empty to use tax identifier","Leave empty to use VAT identifier"
"License:","Licence:"
"Manage Stores","Manage Shops"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Please enter a valid URL. For example http://www.example.uk or www.example.uk"
"Please enter a valid email address. For example johndoe@domain.com.","Please enter a valid email address. For example johndoe@domain.uk."
""Please"," select a store view"",""Please"," select a shop view""
"Shipment Comments","Delivery Comments"
"Shipment History","Delivery History"
"Shipping Address","Delivery Address"
"Shipping address selection is not applicable","Delivery address selection is not applicable"
"Shipping method selection is not applicable","Delivery method selection is not applicable"
"Staging Store: ","Staging Shop: "
"Store:","Shop:"
"Store: ","Shop: "
"Websites / Stores","Websites / Shops"
