"Account login","Account login"
"Account password","Account password"
"Active","Active"
"Add Attribute Mapping","Add Attribute Mapping"
"Add New Attribute","Add New Attribute"
"Add to Google Base","Add to Google Base"
"Are you sure?","Are you sure?"
"Attribute","Attribute"
"Attribute Set","Attribute Set"
"Attribute Set and Item Type","Attribute Set and Item Type"
"Attributes","Attributes"
"Cannot update Google Base Item for Store '%s'","Cannot update Google Base Item for Basket '%s'"
"Default Store (%s)","Default Basket (%s)"
