"* Select shipping method","* Select delivery method"
"AVS Status: %s","AVS Status: %s"
"Add","Add"
"Add Shipping Method","Add Shipping Method"
"Allowed Methods","Allowed Methods"
"Amount: %s","Amount: %s"
"Auto-generated from GoogleCheckout Charge","Auto-generated from Google Checkout Charge"
"Buyer account age: %s days","Buyer account age: %s days"
"CC Partial: xxxx-%s","CC Partial: xxxx-%s"
"CID Status: %s","CID Status: %s"
"Carrier Calculated Methods","Carrier Calculated Methods"
"Cart Discount","Basket Discount"
"Checkout Image Style","Checkout Image Style"
"Continue Shopping URL","Continue Shopping URL"
"Debug","Debug"
"Default Package Height (in)","Default Package Height (in)"
"Default Package Length (in)","Default Package Length (in)"
"Default Package Width (in)","Default Package Width (in)"
"Default price for methods","Default price for methods"
"Default price:","Default price:"
"Delivery Address Category","Delivery Address Category"
"Delivery schedule","Delivery schedule"
"Disable Default Tax Tables","Disable Default Tax Tables"
"Eligible for protection: %s","Eligible for protection: %s"
"Enable","Enable"
"Enable Carrier Calculated","Enable Carrier Calculated"
"Enable Digital Delivery","Enable Digital Delivery"
"Enable Flat Rate","Enable Flat Rate"
"Enable Merchant Calculated","Enable Merchant Calculated"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off."
"Expiration: %s","Expiration: %s"
"Free Shipping","Free Delivery"
"Fulfillment: %s -> %s","Fulfilment: %s -> %s"
"Google Authorization:","Google Authorisation:"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Delivery - Carrier Calculated"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Google Checkout Shipping - Flat Rate","Google Checkout Delivery - Flat Rate"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Delivery - Merchant Calculated"
"Hide Cart Contents During Checkout","Hide Basket Contents During Checkout"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to Google Checkout in a few seconds."
