"Allow Shipping to multiple addresses","Allow delivery to multiple addresses"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Duplicate Row #%s (Country ""%s"", County/State ""%s"", Postcode/Zip ""%s"" and Value ""%s"")"
"Free Shipping","Free Delivery"
"Invalid Region/State ""%s"" in the Row #%s","Invalid County/State ""%s"" in the Row #%s"
"Invalid Shipping Price ""%s"" in the Row #%s","Invalid Delivery Price ""%s"" in the Row #%s"
"Maximum qty allowed for Shipping to multiple addresses","Maximum qty allowed for delivery to multiple addresses"
"Region/State","County/State"
"Ship to Specific countries","Deliver to Specific countries"
"Ship to applicable countries","Deliver to applicable countries"
"Shipment #","Delivery #"
"Shipped or billed on:","Delivered or billed on:"
"Shipping Methods","Delivery Methods"
"Shipping Methods Section","Delivery Methods Section"
"Shipping Settings","Delivery Settings"
"Shipping Settings Section","Delivery Settings Section"
"Store Pickup","Shop Pickup"
"The shipping module is not available for selected delivery country","The delivery module is not available for selected delivery country"
"There is no tracking available for this shipment.","There is no tracking available for this delivery."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","This delivery method is currently unavailable. If you would like to deliver using this delivery method, please contact us."
"ZIP/Postal Code","Postcode/Zip"
